Nr_tabeli;Nazwa_tabeli;Kraj;Rok;Powierzchnia [km2];Ludnoœæ [tys.]       ;PKB [mln euro05];Pozyskanie_energii_pierwotnej [ktoe] ;Zu¿ycie_krajowe_energii_pierwotnej (= Zu¿ycie_krajowe_energii_brutto) [ktoe];Energoch³onnoœæ_pierwotna_PKB [toe/mln euro05];Import_netto [ktoe];Zu¿ycie_koñcowe_energii [ktoe];Zu¿ycie_koñcowe_energii/mieszkañca [toe/miesz.];Zu¿ycie_koñcowe_energii/ gospodarstwo_domowe [toe/gosp. dom.];Energoch³onnoœæ_finalna_PKB [toe/mln euro05];Zale¿noœæ_energetyczna (= Import_netto_energii / (Zu¿ycie_krajowe_energii_pierwotnej + Bunkier_morski)) [%];Produkcja_energii_elektrycznej [ktoe];Produkcja_energii_elektrycznej_z_OZE [ktoe];Zu¿ycie_krajowe_energii_elektrycznej [ktoe];Zu¿ycie_koñcowe_energii_elektrycznej [ktoe];Zu¿ycie_energii_elektrycznej/mieszkañca [toe/miesz.];Elektroch³onnoœæ_PKB [toe/mln euro05];Zu¿ycie_energii_elektrycznej/gospodarstwo_domowe [toe/gosp. dom.];Zale¿noœæ_elektroenergetyczna (= Import_netto_energii_elektrycznej/Zu¿ycie_krajowe_energii_elektrycznej) [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_elektroenergetyce [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_ciep³ownictwie_i_ch³odnictwie [%];Udzia³_energii_z_OZE_w_zu¿yciu_koñcowym_energii_brutto_w_transporcie [%];GHG (w_ekwiwalencie_CO2) [Tg];Emisja_CO2 [Tg];Emisja_CO2/produkcja_energii_elektrycznej [Gg/ktoe];Emisja_CO2/mieszkañca [Mg/miesz.] 
1;Polska i Unia Europejska - wybrane dane;Grecja;2016;131692;10784;159908;6723;24142;151;19046;16703;1,55;3,79;104,45;73,65;4420;1232;5176;4597;0,48;32,37;1,17;14,61;15,23;23,80;24,24;1,68;94,71;74,45;16,84;6,90
1;Polska i Unia Europejska - wybrane dane;Hiszpania;2016;505983;46440;1004583;33970;122176;122;93226;82498;1,78;4,47;82,12;71,91;23627;8781;24286;19993;0,52;24,18;1,32;2,71;17,26;36,61;16,84;5,28;340,54;276,69;11,71;5,96
1;Polska i Unia Europejska - wybrane dane;Holandia;2016;37368;16979;625769;46059;78528;125;41581;49517;2,92;6,41;79,13;45,81;9903;1293;10325;9082;0,61;16,50;1,34;4,09;5,97;12,52;5,45;4,63;206,80;177,20;17,89;10,44
1;Polska i Unia Europejska - wybrane dane;Irlandia;2016;69946;4726;262182;4201;14846;57;10356;11610;2,46;6,61;44,28;69,05;2616;687;2554;2199;0,54;9,74;1,46;-2,40;9,49;27,16;6,80;5,05;64,16;42,52;16,26;9,00
1;Polska i Unia Europejska - wybrane dane;Litwa;2016;65286;2889;27433;1620;7034;256;5574;5108;1,77;3,67;186,21;77,44;367;173;1078;838;0,37;39,31;0,77;65,98;25,58;16,82;46,51;3,63;20,37;13,44;36,65;4,65
1;Polska i Unia Europejska - wybrane dane;Luksemburg;2016;2595;576;39836;159;4197;105;4035;4039;7,01;17,29;101,39;96,13;189;41;730;548;1,27;18,33;3,13;74,15;5,44;6,68;7,33;5,92;11,53;10,49;55,58;18,21
1;Polska i Unia Europejska - wybrane dane;£otwa;2016;64586;1969;16256;2447;4385;270;2217;3820;1,94;4,57;235,00;47,20;553;329;641;557;0,33;39,45;0,77;13,85;37,16;51,26;51,85;2,76;11,66;7,64;13,82;3,88
1;Polska i Unia Europejska - wybrane dane;Malta;2016;315;450;7711;18;726;94;2499;584;1,30;3,86;75,70;100,86;74;11;205;182;0,45;26,55;1,35;64,04;6,05;5,60;15,32;5,41;2,29;1,80;24,39;3,99
1;Polska i Unia Europejska - wybrane dane;Niemcy;2016;357568;82176;2721889;115650;317268;117;203210;216447;2,63;5,36;79,52;63,49;55814;16410;51470;44486;0,63;18,91;1,27;-8,44;14,82;32,18;12,96;6,94;935,82;827,92;14,83;10,08
1;Polska i Unia Europejska - wybrane dane;Polska;2016;311928;37967;371731;66415;99930;269;30321;66652;1,76;4,69;179,30;30,29;14328;1932;14500;11422;0,38;39,01;1,02;1,18;11,29;13,36;14,72;3,92;397,84;323,18;22,56;8,51
1;Polska i Unia Europejska - wybrane dane;Portugalia;2016;92226;10341;159559;5998;23264;146;17566;16115;1,56;3,95;101,00;73,51;5183;2511;4746;3986;0,46;29,74;1,16;-9,21;28,50;54,07;35,12;7,51;71,02;53,65;10,35;5,19
1;Polska i Unia Europejska - wybrane dane;Rumunia;2016;238397;19760;111276;25044;32402;291;7232;22280;1,13;2,98;200,22;22,30;5598;2188;5167;3719;0,26;46,43;0,69;-8,35;25,03;42,71;26,86;6,17;113,42;75,92;13,56;3,84
1;Polska i Unia Europejska - wybrane dane;S³owacja;2016;49035;5426;58102;6198;16511;284;9743;10418;1,92;5,64;179,31;59,01;2327;570;2555;2149;0,47;43,97;1,38;8,92;11,99;22,51;9,89;7,50;41,19;34,15;14,68;6,29
1;Polska i Unia Europejska - wybrane dane;S³owenia;2016;20273;2064;33489;3570;6797;203;3345;4876;2,36;5,48;145,59;48,37;1419;415;1318;1120;0,64;39,34;1,48;-7,68;21,29;32,06;34,01;1,60;17,78;14,46;10,19;7,01
1;Polska i Unia Europejska - wybrane dane;Szwecja;2016;447424;9851;386937;34565;49231;127;16373;32591;3,31;6,75;84,23;31,97;13414;8040;12405;10963;1,26;32,06;2,57;-8,13;53,82;64,86;68,60;30,29;55,45;45,09;3,36;4,58
1;Polska i Unia Europejska - wybrane dane;Wêgry;2016;93013;9830;101334;11356;25705;254;14290;17865;1,82;4,31;176,30;55,59;2739;276;3832;3192;0,39;37,82;0,92;28,52;14,19;7,20;20,76;7,44;62,07;48,18;17,59;4,90
1;Polska i Unia Europejska - wybrane dane;Wielka Brytania;2016;248536;65383;2339281;119605;189440;81;67821;133689;2,04;4,67;57,15;35,30;29183;7493;30692;26131;0,47;13,12;1,07;4,92;9,28;24,62;7,02;4,94;516,80;428,92;14,70;6,56
1;Polska i Unia Europejska - wybrane dane;W³ochy;2016;302073;60666;1439535;33798;154748;107;121707;115931;1,91;4,49;80,53;77,54;24916;9504;28099;24594;0,46;19,52;1,09;11,33;17,41;34,01;18,88;7,24;438,25;360,62;14,47;5,94
1;Polska i Unia Europejska - wybrane dane;UE 28;2017;4473680;511373;13444508;758209;1674924;125;947777;1060037;2,07;4,79;78,85;55,12;283260;86682;284137;240585;0,56;21,13;1,28;0,31;17,53;30,75;19,48;7,42;4481,43;3672,35;12,96;7,18
