"year","avg_renewable_energy_share","avg_greenhouse_gas_emissions","total_energy_consumption"
"2015",19.693103448275863,307.0217241379311,"1533169"
"2016",19.861379310344827,306.1568965517241,"1510782"
"2017",20.36068965517242,309.0644827586207,"1516418"
"2018",20.98206896551724,302.88551724137926,"1512038"
"2019",291.6403448275862,"","1512038"
"2021",24.421428571428574,252.92857142857142,"1195192"
